web-scraper-order,web-scraper-start-url,main_article,main_article-href,nombre_piece,nombre_salle_de_bain,superficie(m2),adresse
"1739997706-1","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-libt-06-3058963","3","2","150 m2","Ngor, Dakar, Sénégal"
"1739997708-2","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yoff-onomo-3058997","3","2","150 m2","Sicap Liberté, Dakar, Sénégal"
"1739997711-3","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-almadie-3059087","3","3","250 m2","Almadies, Dakar, Sénégal"
"1739997713-4","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-point-e-3059507","1","2","72","Point E, Dakar, Sénégal"
"1739997716-5","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-hann-mariste-3059677","5","2","150 m2","Hann Bel-Air, Dakar, Sénégal"
"1739997718-6","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-apparemment-4-pieces-ngor-almadies-3059683","3","3","","Dakar, Sénégal"
"1739997721-7","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-fann-hock-3059772","1","1","1 m2","Sicap Liberté, Dakar, Sénégal"
"1739997723-8","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-05-pieces-point-e-3060255","5","5","296","Point E, Dakar, Sénégal"
"1739997725-9","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-point-e-3060697","3","2","150","Grand Dakar, Dakar, Sénégal"
"1739997728-10","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-3060708","3","3","200","Sicap Liberté, Dakar, Sénégal"
"1739997730-11","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-sipres-3061001","3","2","150","Ouest Foire, Dakar, Sénégal"
"1739997733-12","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dieuppeul-derkle-3061012","5","4","200","Dieuppeul-Derklé, Dakar, Sénégal"
"1739997735-13","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-foire-3061052","4","3","200","Sicap Liberté, Dakar, Sénégal"
"1739997738-14","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-chambres-salon-sicap-liberte-3061129","4","3","","Sicap Liberté, Dakar, Sénégal"
"1739997740-15","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-liberte-6-extension-3061155","4","3","","Sicap Liberté, Dakar, Sénégal"
"1739997743-16","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-ngor-3061192","5","3","","Ngor, Dakar, Sénégal"
"1739997745-17","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mermoz-sacre-coeur-3061272","4","4","150","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997747-18","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-ouest-foire-3061348","4","3","130","Ouest Foire, Dakar, Sénégal"
"1739997750-19","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-rufisque-3061999","3","3","","Rufisque, Sénégal"
"1739997752-20","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3062023","4","3","200","Mamelles, Dakar, Sénégal"
"1739997755-21","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-mermoz-sacre-coeur-3062220","5","6","400","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997757-22","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-mamelles-3062606","6","3","180","Mamelles, Dakar, Sénégal"
"1739997759-23","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-pikine-3062767","3","1","","Pikine, Sénégal"
"1739997762-24","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-rufisque-3063075","150","","","Rufisque, Sénégal"
"1739997764-25","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-sicap-liberte-3063846","4","4","286","Sicap Liberté, Dakar, Sénégal"
"1739997767-26","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-ngor-almadies-3064469","2","2","","Mamelles, Dakar, Sénégal"
"1739997769-27","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3064477","4","2","","Mamelles, Dakar, Sénégal"
"1739997772-28","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-cite-mbackiyou-faye-3064481","4","3","","Mamelles, Dakar, Sénégal"
"1739997774-29","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-2-voie-liberte-6-3064578","3","1","150","Grand Yoff, Dakar, Sénégal"
"1739997776-30","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-3064976","2","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997779-31","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sicap-liberte-3065006","3","2","","Sicap Liberté, Dakar, Sénégal"
"1739997781-32","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-zac-mbao-3065523","4","2","150 m2","Rufisque, Sénégal"
"1739997784-33","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-keur-mbaye-fall-3065538","4","2","150 m2","Rufisque, Sénégal"
"1739997786-34","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-cur-3067047","3","2","150","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997788-35","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-point-e-3067073","3","2","230","Point E, Dakar, Sénégal"
"1739997791-36","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-5-pieces-yoff-virage-3067144","5","5","230","Yoff, Dakar, Sénégal"
"1739997793-37","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-virage-3067152","5","1200000","230","Ziguinchor, Sénégal"
"1739997796-38","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-03-pieces-mermoz-sacre-coeur-3067707","3","3","160","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997798-39","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-aux-mamelles-3067719","2","2","130","Mamelles, Dakar, Sénégal"
"1739997800-40","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-grand-standing-4-pieces-point-e-3067778","4","3","","Point E, Dakar, Sénégal"
"1739997803-41","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3067848","6","3","150","Mamelles, Dakar, Sénégal"
"1739997805-42","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3068068","4","3","300 m2","Mamelles, Dakar, Sénégal"
"1739997808-43","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-3068076","4","3","300 m2","Mamelles, Dakar, Sénégal"
"1739997810-44","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-3068323","3","3","","Ngor, Dakar, Sénégal"
"1739997813-45","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-grand-yoff-3068342","2","1","","Grand Yoff, Dakar, Sénégal"
"1739997815-46","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-duplex-de-presque-300m2-a-liberte-6-extension-3068348","6","5","","Sicap Liberté, Dakar, Sénégal"
"1739997817-47","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-ouest-foire-3068591","2","2","85","Ouest Foire, Dakar, Sénégal"
"1739997820-48","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-mermoz-sacre-coeur-3068820","4","200","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997822-49","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-3068854","4","4","200","Point E, Dakar, Sénégal"
"1739997825-50","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3068909","4","3","150","Mamelles, Dakar, Sénégal"
"1739997827-51","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-almadies-3068919","4","200","","Almadies, Dakar, Sénégal"
"1739997830-52","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-liberte-3068924","4","3","150","Sicap Liberté, Dakar, Sénégal"
"1739997832-53","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3068943","4","3","215","Almadies, Dakar, Sénégal"
"1739997835-54","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-cur-3069081","3","2","121","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997837-55","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3069085","4","4","121","Almadies, Dakar, Sénégal"
"1739997839-56","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-04-pieces-mermoz-sacre-coeur-3069104","4","3","140","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997842-57","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-cite-fadia-3069191","3","3","","Dakar, Sénégal"
"1739997844-58","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sicap-liberte-3069267","3","2","150","Sicap Liberté, Dakar, Sénégal"
"1739997847-59","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sicap-foire-3069505","3","2","120 m2","Grand Yoff, Dakar, Sénégal"
"1739997850-60","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-ouakam-3069635","4","3","105","Ouakam, Dakar, Sénégal"
"1739997852-61","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-sicap-liberte-3069708","2","2","125","Sicap Liberté, Dakar, Sénégal"
"1739997855-62","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-yoff-nord-foire-3069832","4","2","300","Yoff, Dakar, Sénégal"
"1739997857-63","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yoff-onomo-3069947","3","3","125 m2","Yoff, Dakar, Sénégal"
"1739997860-64","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3070652","164","","","Mamelles, Dakar, Sénégal"
"1739997862-65","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3070909","4","4","132","Almadies, Dakar, Sénégal"
"1739997865-66","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-scat-urbam-3071504","3","2","","Sicap Liberté, Dakar, Sénégal"
"1739997867-67","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-grand-dakar-3071513","","","","Grand Dakar, Dakar, Sénégal"
"1739997870-68","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-parcelle-assainies-3071575","4","1","","Parcelle Assainies, Dakar, Sénégal"
"1739997872-69","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-parcelles-3072372","4","1","","Parcelle Assainies, Dakar, Sénégal"
"1739997875-70","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3072517","8","4","200","Almadies, Dakar, Sénégal"
"1739997877-71","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-2-3072531","3","3","225","Rufisque, Sénégal"
"1739997880-72","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dakar-plateau-3072763","5","4","200 m2","Dakar Plateau, Dakar, Sénégal"
"1739997882-73","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3072977","4","4","121","Almadies, Dakar, Sénégal"
"1739997884-74","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-3072985","3","2","121","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997887-75","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-mamelles-3072996","2","2","","Mamelles, Dakar, Sénégal"
"1739997889-76","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouest-foire-3072997","4","3","100","Ouest Foire, Dakar, Sénégal"
"1739997892-77","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-mermoz-3073003","3","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997894-78","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartements-f3-et-f4-mermoz-3073006","4","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997897-79","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-grand-dakar-3073668","","","","Grand Dakar, Dakar, Sénégal"
"1739997899-80","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3073771","4","4","150","Mamelles, Dakar, Sénégal"
"1739997902-81","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-3-pieces-grand-yoff-3074133","3","3","","Grand Yoff, Dakar, Sénégal"
"1739997904-82","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-keur-massar-3074440","3","2","150 m2","Keur Massar, Sénégal"
"1739997907-83","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-3-pieces-grand-yoff-3074687","3","1","50","Grand Yoff, Dakar, Sénégal"
"1739997909-84","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-point-e-3074719","3","4","160","Point E, Dakar, Sénégal"
"1739997914-85","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-zac-mbao-3076117","2","2","75 m2","Mbao, Dakar, Sénégal"
"1739997917-86","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mariste-3076278","3","2","150 m2","Hann Bel-Air, Dakar, Sénégal"
"1739997919-87","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-plateau-3076601","4","2","","Dakar Plateau, Dakar, Sénégal"
"1739997922-88","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-keur-massar-3076775","","","","Dakar, Sénégal"
"1739997924-89","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-americain-keur-massar-3076961","","","","Dakar, Sénégal"
"1739997927-90","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-3077177","4","2","155 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997929-91","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/vente-appartement-f4-de-200-m-bel-air-3078288","4","4","219","Hann Bel-Air, Dakar, Sénégal"
"1739997932-92","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouakam-3078554","4","4","14 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997934-93","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-3078595","3","3","100","Ngor, Dakar, Sénégal"
"1739997937-94","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-cite-comico-3078695","2","2","100 m2","Ouakam, Dakar, Sénégal"
"1739997939-95","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-yoff-3078744","4","1","100","Yoff, Dakar, Sénégal"
"1739997941-96","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-point-e-3078751","2","3","150","Point E, Dakar, Sénégal"
"1739997944-97","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-liberte-6-3078774","3","2","150","Grand Yoff, Dakar, Sénégal"
"1739997946-98","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mbao-3079099","4","3","150","Mbao, Dakar, Sénégal"
"1739997949-99","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mbao-3079162","3","2","150","Mbao, Dakar, Sénégal"
"1739997951-100","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-keur-massar-extension-cite-penitence-3079555","4","2","150","Dakar, Sénégal"
"1739997953-101","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-3079881","4","4","","Point E, Dakar, Sénégal"
"1739997956-102","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3079906","4","4","212","Almadies, Dakar, Sénégal"
"1739997958-103","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3079999","4","4","100","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997961-104","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-3080267","3","3","168","Point E, Dakar, Sénégal"
"1739997963-105","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-3-pieces-niarry-tally-3080380","","","","Dakar, Sénégal"
"1739997966-106","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-3080403","2","3","200","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997968-107","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3080632","4","3","300","Mamelles, Dakar, Sénégal"
"1739997971-108","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3080732","4","3","150","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997973-109","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-yoff-apexcy-1-3080914","2","2","","Dakar, Sénégal"
"1739997975-110","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-apparemment-3-pieces-keur-massar-3081053","3","2","","Dakar, Sénégal"
"1739997978-111","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3081684","4","3","121","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739997980-112","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-ngor-3081911","2","2","100","Ngor, Dakar, Sénégal"
"1739997983-113","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-keur-massar-3082679","3","2","150 m2","Keur Massar, Sénégal"
"1739997985-114","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouest-foire-3082841","4","2","90","Ouest Foire, Dakar, Sénégal"
"1739997988-115","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-parcelle-assainies-u18-3082904","4","3","150 m2","Keur Massar, Sénégal"
"1739997990-116","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-3084174","3","2","150","Mamelles, Dakar, Sénégal"
"1739997992-117","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-au-virage-3084179","2","1","120","Yoff, Dakar, Sénégal"
"1739997995-118","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-grand-dakar-3084228","2","2","1 m2","Grand Dakar, Dakar, Sénégal"
"1739997997-119","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-sicap-liberte-3084264","4","2","100","Sicap Liberté, Dakar, Sénégal"
"1739998000-120","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-3084682","4","4","121","Almadies, Dakar, Sénégal"
"1739998002-121","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-3084758","3","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739998005-122","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-3084774","3","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739998007-123","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-3084786","2","1","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739998010-124","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-almadies-3084812","2","1","","Almadies, Dakar, Sénégal"
"1739998012-125","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-3-pieces-niarry-tally-3084851","","","","Dakar, Sénégal"
"1739998014-126","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-3084984","3","4","200 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739998017-127","https://sn.coinafrique.com/categorie/appartements?page=118","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-keur-massar-3085336","2","2","150 m2","Keur Massar, Sénégal"
